Date,Speaker ID,Sex,Parliament,Party,Speech Count
2024-05-14,#KeithVaz,M,House of Commons,Labour,2
2024-05-14,#TobiasEllwood,M,House of Commons,Conservative,13
2024-05-14,#RichardOttaway,M,House of Commons,Conservative,1
2024-05-14,#JeremyCorbyn,M,House of Commons,Labour,1
2024-05-14,#AlanDuncan,M,House of Commons,Conservative,1
2024-05-14,#JohnSpellar,M,House of Commons,Labour,1
2024-05-14,#TimothyFarron,M,House of Commons,Liberal Democrat,1
2024-05-14,#StephenDoughty,M,House of Commons,Labour,1
2024-05-14,#PeterLuff,M,House of Commons,Conservative,1
2024-05-14,#StephenMcCabe,M,House of Commons,Labour,1
2024-05-14,#RobertBlackman,M,House of Commons,Conservative,1
2024-05-14,#MarkReckless,M,House of Commons,Conservative,1
2024-05-14,#RichardShannon,M,House of Commons,Democratic Unionist Party,1
2024-05-14,#JoyceAnelay,F,House of Lords,Conservative,8
2024-05-14,#MairMorgan,F,House of Lords,Labour,1
2024-05-14,#KishwerFalkner,F,House of Lords,Liberal Democrat,1
2024-05-14,#DonaldAnderson,M,House of Commons,Labour,1
2024-05-14,#DavidHowell,M,House of Commons,Conservative,1
2024-05-14,#AlanWest,M,House of Lords,Labour,1
2024-05-14,#DavidLea,M,House of Lords,Labour,1
2024-05-14,#ElizabethSymons,F,House of Lords,Labour,1
2024-05-14,#LucianaGoldsmithBerger,F,House of Commons,Labour,1
2024-05-14,#LouiseEllman,F,House of Commons,Labour,1
2024-05-14,#EricLubbock,M,House of Commons,Liberal Democrat,2
2024-05-14,#JamesStopford,M,House of Commons,Conservative,9
2024-05-14,#DonaldAnderson,M,House of Commons,Labour,1
2024-05-14,#SayeedaWarsi,F,House of Lords,Conservative,1
2024-05-14,#GlenysKinnock,F,House of Lords,Labour,1
2024-05-14,#AndrewFleming,M,House of Lords,Crossbench,1
2024-05-14,#NazirAhmed,M,House of Lords,Labour,1
2024-05-14,#WilliamWallace,M,House of Lords,Liberal Democrat,1
2024-05-14,#RaymondCollins,M,House of Lords,Labour,1
2024-05-14,#MartynDay,M,House of Commons,Scottish National Party,2
2024-05-14,#TobiasEllwood,M,House of Commons,Conservative,4
2024-05-14,#EdwardArgar,M,House of Commons,Conservative,1
2024-05-14,#DianaJohnson,F,House of Commons,Labour,1
2024-05-14,#JohnBercow,M,House of Commons,Conservative,1
2024-05-14,#StephenPhillips,M,House of Commons,Conservative,2
2024-05-14,#DesmondSwayne,M,House of Commons,Conservative,7
2024-05-14,#KeithVaz,M,House of Commons,Labour,1
2024-05-14,#DavidJones,M,House of Commons,Conservative,1
2024-05-14,#ThomasBrake,M,House of Commons,Liberal Democrat,1
2024-05-14,#MichaelKane,M,House of Commons,Labour,1
2024-05-14,#TasminaAhmedSheikh,F,House of Commons,Scottish National Party,1
2024-05-14,#JohnBercow,M,House of Commons,Conservative,1
2024-05-14,#LaurenceRobertson,M,House of Commons,Conservative,2
2024-05-14,#DesmondSwayne,M,House of Commons,Conservative,9
2024-05-14,#StephenTwigg,M,House of Commons,Labour,1
2024-05-14,#HelenGrant,F,House of Commons,Conservative,1
2024-05-14,#GiselaStuart,F,House of Commons,Labour,1
2024-05-14,#DianeAbbott,F,House of Commons,Labour,1
2024-05-14,#TasminaAhmedSheikh,F,House of Commons,Scottish National Party,2
2024-05-14,#AlanDuncan,M,House of Commons,Conservative,1
2024-05-14,#KirstenOswald,F,House of Commons,Scottish National Party,7
2024-05-14,#StephenGethins,M,House of Commons,Scottish National Party,1
2024-05-14,#KevinFoster,M,House of Commons,Conservative,5
2024-05-14,#TobiasEllwood,M,House of Commons,Conservative,3
2024-05-14,#EdwardArgar,M,House of Commons,Conservative,4
2024-05-14,#WendyMorton,F,House of Commons,Conservative,3
2024-05-14,#EleanorLaing,F,House of Commons,Conservative,2
2024-05-14,#KeithVaz,M,House of Commons,Labour,3
2024-05-14,#TimothyLoughton,M,House of Commons,Conservative,1
2024-05-14,#StephenTwigg,M,House of Commons,Labour,2
2024-05-14,#ValerieVaz,F,House of Commons,Labour,1
2024-05-14,#FionaBruce,F,House of Commons,Conservative,1
2024-05-14,#AlisonThewliss,F,House of Commons,Scottish National Party,2
2024-05-14,#LindsayHoyle,M,House of Commons,Labour,3
2024-05-14,#LisaCameron,F,House of Commons,Scottish National Party,1
2024-05-14,#FeliciaDrummond,F,House of Commons,Conservative,3
2024-05-14,#MichaelWood,M,House of Commons,Conservative,1
2024-05-14,#ThomasTugendhat,M,House of Commons,Conservative,1
2024-05-14,#PatrickGrady,M,House of Commons,Scottish National Party,1
2024-05-14,#FabianHamilton,M,House of Commons,Labour,3
2024-05-14,#AndrewSlaughter,M,House of Commons,Labour,1
2024-05-14,#CarolynHarris,F,House of Commons,Labour,2
2024-05-14,#TobiasEllwood,M,House of Commons,Conservative,5
2024-05-14,#EdwardArgar,M,House of Commons,Conservative,1
2024-05-14,#KeithVaz,M,House of Commons,Labour,1
2024-05-14,#DianaJohnson,F,House of Commons,Labour,1
2024-05-14,#StewartWood,M,House of Lords,Labour,2
2024-05-14,#FrederickCurzon,M,House of Commons,Conservative,7
2024-05-14,#RaymondJolliffe,M,House of Commons,Crossbench,1
2024-05-14,#GlenysKinnock,F,House of Lords,Labour,1
2024-05-14,#ThomasKing,M,House of Commons,Conservative,1
2024-05-14,#JudithJolly,F,House of Lords,Liberal Democrat,1
2024-05-14,#JamesTouhig,M,House of Commons,Labour,1
2024-05-14,#KeithVaz,M,House of Commons,Labour,4
2024-05-14,#TobiasEllwood,M,House of Commons,Conservative,3
2024-05-14,#StephenDoughty,M,House of Commons,Labour,2
2024-05-14,#TasminaAhmedSheikh,F,House of Commons,Scottish National Party,3
2024-05-14,#PhilipDunne,M,House of Commons,Conservative,25
2024-05-14,#AlanDuncan,M,House of Commons,Conservative,2
2024-05-14,#EmilyThornberry,F,House of Commons,Labour,1
2024-05-14,#ChrisWhite,M,House of Commons,Conservative,1
2024-05-14,#KirstenOswald,F,House of Commons,Scottish National Party,1
2024-05-14,#KevinFoster,M,House of Commons,Conservative,1
2024-05-14,#ValerieVaz,F,House of Commons,Labour,1
2024-05-14,#ThomasBrake,M,House of Commons,Liberal Democrat,1
2024-05-14,#KevanJones,M,House of Commons,Labour,1
2024-05-14,#RichardShannon,M,House of Commons,Democratic Unionist Party,1
2024-05-14,#OliverHeald,M,House of Commons,Conservative,1
2024-05-14,#AlisonMcGovern,F,House of Commons,Labour,1
2024-05-14,#JeremyLefroy,M,House of Commons,Conservative,1
2024-05-14,#AlisonThewliss,F,House of Commons,Scottish National Party,1
2024-05-14,#TaniaMathias,F,House of Commons,Conservative,3
2024-05-14,#JohnBercow,M,House of Commons,Conservative,2
2024-05-14,#MartinDochertyHughes,M,House of Commons,Scottish National Party,1
2024-05-14,#JohnDurkan,M,House of Commons,Social Democratic & Labour Party,1
2024-05-14,#PatrickGrady,M,House of Commons,Scottish National Party,1
2024-05-14,#PeterGrant,M,House of Commons,Scottish National Party,1
2024-05-14,#JeffreySmith,M,House of Commons,Labour,1
2024-05-14,#LisaCameron,F,House of Commons,Scottish National Party,1
2024-05-14,#HilaryBenn,M,House of Commons,Labour,2
2024-05-14,#TobiasEllwood,M,House of Commons,Conservative,34
2024-05-14,#CrispinBlunt,M,House of Commons,Conservative,1
2024-05-14,#EmilyThornberry,F,House of Commons,Labour,2
2024-05-14,#RobertStewart,M,House of Commons,Conservative,1
2024-05-14,#TasminaAhmedSheikh,F,House of Commons,Scottish National Party,1
2024-05-14,#CherylGillan,F,House of Commons,Conservative,1
2024-05-14,#KeithVaz,M,House of Commons,Labour,1
2024-05-14,#FeliciaDrummond,F,House of Commons,Conservative,1
2024-05-14,#GillianFurniss,F,House of Commons,Labour,1
2024-05-14,#NigelHuddleston,M,House of Commons,Conservative,1
2024-05-14,#LucianaGoldsmithBerger,F,House of Commons,Labour,1
2024-05-14,#SeemaKennedy,F,House of Commons,Conservative,1
2024-05-14,#MargaretFerrier,F,House of Commons,Scottish National Party,1
2024-05-14,#MarkPritchard,M,House of Commons,Conservative,1
2024-05-14,#KevanJones,M,House of Commons,Labour,1
2024-05-14,#ThomasTugendhat,M,House of Commons,Conservative,1
2024-05-14,#ThomasBrake,M,House of Commons,Liberal Democrat,1
2024-05-14,#EdwardLeigh,M,House of Commons,Conservative,1
2024-05-14,#StephenDoughty,M,House of Commons,Labour,1
2024-05-14,#KevinFoster,M,House of Commons,Conservative,1
2024-05-14,#AlisonThewliss,F,House of Commons,Scottish National Party,2
2024-05-14,#JohnBercow,M,House of Commons,Conservative,1
2024-05-14,#MichaelWood,M,House of Commons,Conservative,1
2024-05-14,#ThangamDebbonaire,F,House of Commons,Labour,1
2024-05-14,#PhilipHollobone,M,House of Commons,Conservative,1
2024-05-14,#AndrewGwynne,M,House of Commons,Labour,1
2024-05-14,#NigelEvans,M,House of Commons,Conservative,1
